 0.000153, 0.000171, 0.000181, 0.000153, 0.000153,
 0.073698, 0.078835, 0.080857, 0.079629, 0.081483,
 0.000478, 0.000463, 0.000406, 0.000395, 0.000599,
 0.478652, 0.495594, 0.500738, 0.485585, 0.549945,
 0.000725, 0.000969, 0.000728, 0.000767, 0.000774,
 1.974762, 2.079288, 1.984843, 1.865053, 2.081405,
 0.001203, 0.001187, 0.001147, 0.001192, 0.001129,
 4.452044, 4.448252, 4.271917, 4.601417, 4.533897,
 0.001657, 0.002773, 0.001449, 0.001556, 0.001514,
 7.550403, 8.190998, 7.512235, 9.812035, 7.982539,
 0.108120, 0.108230, 0.107200, 0.127225, 0.113840,
 0.081456, 0.082219, 0.083023, 0.112760, 0.089299,
 0.715431, 0.769657, 0.742264, 1.040052, 0.743254,
 0.502080, 0.580174, 0.525567, 0.818788, 0.519963,
 2.909669, 3.534662, 2.977209, 3.517080, 3.040351,
 2.021978, 2.434544, 2.174880, 2.089222, 2.405521,
 6.879156, 7.149698, 6.838027, 7.224261, 7.313200,
 4.785973, 5.119100, 4.812385, 4.893272, 4.940304,
 12.045336, 12.920044, 13.255708, 13.170844, 12.700579,
 8.032677, 8.513995, 9.362508, 8.859321, 9.325039,
 0.054810, 0.055350, 0.065697, 0.064407, 0.062944,
 0.075164, 0.076617, 0.107269, 0.085512, 0.084797,
 0.368344, 0.386029, 0.410444, 0.438053, 0.396102,
 0.471081, 0.496689, 0.538577, 0.543731, 0.507863,
 1.485192, 1.660756, 1.627153, 1.976956, 1.613281,
 1.960026, 2.003306, 2.418940, 2.041567, 2.097774,
 3.444653, 3.619255, 3.690654, 3.617898, 3.764216,
 4.429923, 6.160252, 5.175535, 4.866293, 4.518095,
 6.004257, 7.145830, 6.939633, 6.929857, 6.411300,
 7.711443, 8.171374, 8.343826, 8.291154, 8.447128,
,,,,,
